parada_id,equipo_id,fecha,hora_inicio_aprox,duracion_horas,tipo_parada,causa,costo_estimado_soles
PAR-010047,PS-EQ-09 ,14/02/2025,21:00,0.6,Correctiva ,Atoro de mineral / obstrucción,742.0
PAR-009542,PS-EQ-07	,22/12/2026,09:00,2.8,CORRECTIVA,Falla de lubricación,4685.0
PAR-008375,ps-eq-04,21/08/2025,00:00,13.5,Correctiva ,Falla eléctrica - motor/tablero,19118.0
PAR-007359,PS-EQ-01 ,2025-03-14,06:00,2.4, operativa,Corte de energía externo,
PAR-009223, PS-EQ-06,01/10/2026,09:00,8.3,Correctiva ,Falla mecánica - desgaste de componente,8837.0
PAR-010030,PS_EQ_09,13/12/2024,15:00,5.1, correctiva,Rotura de faja/correa,10234.0
PAR-007771,PS_EQ_02,2025-11-22,03:00,4.4,PREVENTIVA,Mantenimiento programado (plan anual),
PAR-008246,PS-EQ-04,2024-02-17,11:00,4.3, correctiva,Falla mecánica - desgaste de componente,9023.0
PAR-009412,PS_EQ_07,2025-02-09,09:00,1.1, operativa,Espera de insumos (reactivos/bolas de molienda),331.0
PAR-008553,ps-eq-04,2027-06-30,01:00,1.3, operativa,Condiciones climáticas adversas,735.0
PAR-008151, PS-EQ-03,2026-09-08,02:00,2.0, correctiva,Falla eléctrica - motor/tablero,3792.0
PAR-008605, PS-EQ-05,2024-02-04,07:00,12.4, correctiva,Falla eléctrica - motor/tablero,21067.0
PAR-008989,PS_EQ_06,29/03/2024,03:00,20.0,Correctiva,Falla de lubricación,18343.0
PAR-010118,PS_EQ_09,2026-02-22,08:00,6.4,Preventiva,,11993.0
PAR-010258,PS-EQ-10	,2024-04-06,05:00,2.8,Operativa,Falta de mineral en cancha,
PAR-008009,PS_EQ_03,13/05/2024,18:00,4.2,Correctiva,Atoro de mineral / obstrucción,
PAR-007897, PS-EQ-02,19/02/2027,11:00,7.9,Preventiva,Mantenimiento programado (plan anual),8049.0
PAR-010466,PSEQ10,29/04/2027,02:00,0.8,OPERATIVA,Corte de energía externo,213.0
PAR-010088,PS_EQ_09,2025-08-27,21:00,0.8,Operativa ,Condiciones climáticas adversas,386.0
PAR-007505,PS-EQ-01 ,29/10/2026,15:00,5.8,Correctiva,Falla de lubricación,5499.0
PAR-007760,PS-EQ-02,2025-09-30,07:00,1.0,OPERATIVA,Falta de mineral en cancha,457.0
PAR-008548,PS-EQ-04,2027-06-11,15:00,2.4, operativa,Condiciones climáticas adversas,1169.0
PAR-007589,ps-eq-01,22/10/2027,01:00,10.2,Correctiva,Atoro de mineral / obstrucción,19045.0
PAR-010352,PSEQ10,23/08/2025,14:00,2.2, operativa,,628.0
PAR-010340,PSEQ10,2025-06-30,08:00,4.3, preventiva,Mantenimiento programado (plan anual),
PAR-009351,PS_EQ_07,14/02/2024,06:00,7.5,Correctiva ,,7349.0
PAR-009161,PS-EQ-06,2026-01-27,00:00,0.5,CORRECTIVA,Rotura de faja/correa,907.0
PAR-007670,ps-eq-02,20/10/2024,00:00,20.0,Correctiva,Rotura de faja/correa,21484.0
PAR-008652,PSEQ05,2024-07-21,04:00,8.7, preventiva,Mantenimiento programado (plan anual),16128.0
PAR-009430,PS-EQ-07	,2025-06-15,13:00,3.8,CORRECTIVA,Falla eléctrica - motor/tablero,5294.0
