parada_id,equipo_id,fecha,hora_inicio_aprox,duracion_horas,tipo_parada,causa,costo_estimado_soles
PAR-001518,PN-EQ-05 ,21/07/2024,01:00,8.5, preventiva,Mantenimiento programado (plan anual),8271.0
PAR-001890,PN-EQ-05 ,29/11/2027,15:00,4.7, preventiva,Mantenimiento programado (plan anual),8733.0
PAR-000180, PN-EQ-01,2025-12-07,14:00,8.5,Preventiva,Mantenimiento programado (plan anual),18203.0
PAR-000501,PNEQ02,20/07/2025,18:00,0.9,Operativa,Corte de energía externo,444.0
PAR-000025,pn-eq-01,2024-04-04,15:00,4.6,Correctiva,Falla mecánica - desgaste de componente,5492.0
PAR-003252,pn-eq-10,16/05/2024,00:00,20.0, correctiva,Rotura de faja/correa,32202.0
PAR-000394,PN-EQ-02 ,14/06/2024,06:00,6.4,PREVENTIVA,Mantenimiento programado (plan anual),5658.0
PAR-003531,PN-EQ-10 ,05/08/2026,03:00,5.8,Correctiva,Falla eléctrica - motor/tablero,6663.0
PAR-000546,PN-EQ-02	,06/01/2026,01:00,2.3,Operativa,Condiciones climáticas adversas,1318.0
PAR-002747, PN-EQ-08,2026-03-19,16:00,2.5,Operativa,,1019.0
PAR-002983, PN-EQ-09,2024-11-07,05:00,4.3,Preventiva,Mantenimiento programado (plan anual),9062.0
PAR-001156,PN_EQ_04,2025-03-30,06:00,9.3,CORRECTIVA,Falla eléctrica - motor/tablero,12550.0
PAR-002302,pn-eq-07,15/07/2024,03:00,1.5,Correctiva ,Falla eléctrica - motor/tablero,2277.0
PAR-002039,PNEQ06,13/07/2025,05:00,2.0, operativa,Espera de insumos (reactivos/bolas de molienda),
PAR-003666,PN-EQ-10	,22/10/2027,02:00,1.5, operativa,Falta de mineral en cancha,899.0
PAR-001222,PN-EQ-04,2025-10-11,15:00,1.6,Correctiva ,Falla mecánica - desgaste de componente,2212.0
PAR-003078,PN-EQ-09 ,2026-03-16,07:00,2.0,Operativa,Corte de energía externo,530.0
PAR-001887,PN-EQ-05,2027-11-09,13:00,8.6,PREVENTIVA,Mantenimiento programado (plan anual),9209.0
PAR-001142,pn-eq-04,04/03/2025,07:00,2.0,OPERATIVA,Falta de mineral en cancha,572.0
PAR-002275, PN-EQ-07,2024-02-20,11:00,7.8,Correctiva ,Falla mecánica - desgaste de componente,
PAR-000152,PN_EQ_01,18/08/2025,13:00,6.2,Correctiva,Atoro de mineral / obstrucción,12440.0
PAR-003509,PN-EQ-10	,2026-06-09,13:00,2.0,Operativa,Condiciones climáticas adversas,816.0
PAR-003216,PN_EQ_10,2024-01-09,04:00,1.3,Operativa,Falta de mineral en cancha,
PAR-001632,pn-eq-05,03/08/2025,11:00,4.7, preventiva,,9678.0
PAR-001153,PN-EQ-04,2025-03-28,17:00,4.2,Preventiva,Mantenimiento programado (plan anual),4708.0
PAR-000115, PN-EQ-01,10/03/2025,22:00,0.5,Correctiva,Falla eléctrica - motor/tablero,464.0
PAR-001963, PN-EQ-06,2024-09-17,17:00,4.1, preventiva,Mantenimiento programado (plan anual),8760.0
PAR-002927, PN-EQ-09,2024-02-20,07:00,6.7,Preventiva ,Mantenimiento programado (plan anual),10190.0
PAR-002138,PN_EQ_06,2026-07-28,13:00,7.3,CORRECTIVA,Falla eléctrica - motor/tablero,7659.0
PAR-000854,PNEQ03,2026-01-02,11:00,6.8, correctiva,Atoro de mineral / obstrucción,9388.0
PAR-000121, PN-EQ-01,30/03/2025,07:00,8.9,Correctiva,Atoro de mineral / obstrucción,14775.0
PAR-000486,PNEQ02,2025-05-28,03:00,12.9,Correctiva ,Falla mecánica - desgaste de componente,11224.0
PAR-003300,PN-EQ-10 ,01/10/2024,02:00,20.0,Correctiva,Falla eléctrica - motor/tablero,41685.0
PAR-002929,PN-EQ-09 ,2024-03-03,08:00,10.4,CORRECTIVA,Rotura de faja/correa,19323.0
PAR-000266,PN-EQ-01	,03/01/2027,00:00,7.5,Preventiva,Mantenimiento programado (plan anual),7291.0
PAR-001853,PN_EQ_05,2027-08-27,09:00,13.1,CORRECTIVA,Rotura de faja/correa,28279.0
PAR-001378,PN_EQ_04,08/04/2027,09:00,4.4,Preventiva,Mantenimiento programado (plan anual),8712.0
PAR-000693,PNEQ02,06/09/2027,02:00,8.8,PREVENTIVA,Mantenimiento programado (plan anual),19357.0
PAR-001539,PN-EQ-05 ,04/10/2024,13:00,4.4,Preventiva,Mantenimiento programado (plan anual),7303.0
PAR-001187, PN-EQ-04,2025-07-20,01:00,19.2,Correctiva,Falla mecánica - desgaste de componente,31152.0
PAR-002292, PN-EQ-07,14/05/2024,11:00,1.9,OPERATIVA,Corte de energía externo,442.0
PAR-001464,PN_EQ_05,10/01/2024,01:00,20.0,Correctiva ,Falla eléctrica - motor/tablero,28856.0
PAR-000234,PN-EQ-01,2026-07-13,06:00,10.1,Correctiva,,19426.0
PAR-002003, PN-EQ-06,20/02/2025,13:00,1.6,Correctiva,Falla eléctrica - motor/tablero,1536.0
PAR-001707,pn-eq-05,2026-04-26,01:00,20.0,CORRECTIVA,,38342.0
PAR-002035,PN-EQ-06,2025-06-16,11:00,2.5,OPERATIVA,Corte de energía externo,1078.0
PAR-001575,PNEQ05,16/02/2025,09:00,0.7,Correctiva,Atoro de mineral / obstrucción,1225.0
PAR-002460,PN_EQ_07,2026-10-14,00:00,0.5,Operativa,Espera de insumos (reactivos/bolas de molienda),231.0
PAR-000104,PNEQ01,2025-01-30,10:00,1.0,Correctiva,Rotura de faja/correa,961.0
PAR-001345, PN-EQ-04,2026-12-14,06:00,1.3,Operativa,Corte de energía externo,365.0
PAR-001915,PN_EQ_06,2024-03-17,00:00,6.1, correctiva,Falla mecánica - desgaste de componente,6952.0
PAR-001691,PN_EQ_05,2026-03-17,00:00,8.6,CORRECTIVA,Falla mecánica - desgaste de componente,14967.0
PAR-003591,PN-EQ-10	,31/01/2027,15:00,1.9,Operativa,Espera de insumos (reactivos/bolas de molienda),761.0
PAR-002542,PN-EQ-07,2027-11-18,16:00,2.1,Operativa,Falta de mineral en cancha,850.0
PAR-001184,PN-EQ-04 ,2025-07-03,03:00,5.8,CORRECTIVA,Falla mecánica - desgaste de componente,8571.0
PAR-002376,PN-EQ-07	,2025-08-25,18:00,2.1, operativa,Falta de mineral en cancha,1026.0
PAR-003176,PN-EQ-09	,2027-06-29,04:00,1.7,Operativa ,Condiciones climáticas adversas,485.0
PAR-002082, PN-EQ-06,13/01/2026,15:00,4.0,Correctiva,Rotura de faja/correa,3350.0
PAR-000810,PN_EQ_03,2025-05-01,18:00,2.7, operativa,Falta de mineral en cancha,
PAR-002790,PNEQ08,2026-08-26,13:00,2.3,Correctiva ,Falla de lubricación,3306.0
PAR-003397,PN-EQ-10 ,2025-07-11,04:00,16.9,Correctiva ,Atoro de mineral / obstrucción,15767.0
PAR-000945,PN_EQ_03,2027-02-14,07:00,5.4,CORRECTIVA,Falla eléctrica - motor/tablero,7754.0
PAR-001105,PN-EQ-04	,2024-11-22,00:00,20.0, correctiva,Falla eléctrica - motor/tablero,17640.0
PAR-001717,PN-EQ-05 ,27/05/2026,12:00,2.3,Operativa ,Condiciones climáticas adversas,767.0
PAR-002386,PN-EQ-07,21/10/2025,16:00,1.4,Operativa,Espera de insumos (reactivos/bolas de molienda),559.0
PAR-001168,PN-EQ-04 ,2025-05-06,01:00,5.3,CORRECTIVA,Rotura de faja/correa,8351.0
PAR-000596,PN_EQ_02,2026-07-29,14:00,0.7,Correctiva,,1160.0
PAR-001623,PN-EQ-05	,07/07/2025,07:00,3.8,Correctiva,Rotura de faja/correa,5873.0
PAR-001554,pn-eq-05,2024-11-14,14:00,8.9,Preventiva,Mantenimiento programado (plan anual),9746.0
PAR-000928,PN-EQ-03	,2026-11-19,07:00,2.4,Operativa,,686.0
PAR-001237,PNEQ04,07/12/2025,06:00,8.2,Correctiva,Falla eléctrica - motor/tablero,7320.0
PAR-002393,PNEQ07,14/12/2025,12:00,1.3,Operativa,Condiciones climáticas adversas,577.0
PAR-002752,PN_EQ_08,06/04/2026,02:00,0.5,Correctiva,,561.0
PAR-000133,PN_EQ_01,2025-05-28,05:00,2.0,CORRECTIVA,Falla eléctrica - motor/tablero,2885.0
PAR-001966,PN-EQ-06,2024-09-27,01:00,10.1,Correctiva,Falla eléctrica - motor/tablero,8541.0
PAR-000812,PN-EQ-03	,2025-05-09,18:00,3.1,CORRECTIVA,,6270.0
PAR-000295,PN_EQ_01,2027-05-16,04:00,10.3, correctiva,Falla mecánica - desgaste de componente,14908.0
PAR-003183,PN-EQ-09 ,21/07/2027,02:00,2.5, operativa,Espera de insumos (reactivos/bolas de molienda),1445.0
PAR-000883,PN-EQ-03 ,18/05/2026,09:00,7.8,Preventiva,Mantenimiento programado (plan anual),10539.0
